time,height,n_tx,anomaly_score,is_anomaly
2026-02-23,937898,7810,-0.16512409036985742,True
2026-02-22,937826,7629,-0.13567008576958062,True
2026-02-23,937957,1,-0.12886005178263849,True
2026-02-22,937877,7215,-0.10986528000195617,True
2026-02-22,937879,6942,-0.054635536761348136,True
2026-02-22,937786,6851,-0.04430217121757618,True
2026-02-22,937778,118,-0.04301611220219159,True
2026-02-22,937887,171,-0.007846310157198277,True
2026-02-22,937854,193,-0.007301524613848143,True
2026-02-23,937894,6412,-0.005128796964708249,True
2026-02-22,937856,6599,0.0002699366823530891,False
2026-02-22,937843,6243,0.0005522805622235616,False
2026-02-22,937831,6322,0.003194496828925142,False
2026-02-23,937958,937,0.005044295375172703,False
2026-02-22,937834,6083,0.01206216098884172,False
2026-02-23,937917,5864,0.015136652327631839,False
2026-02-22,937872,398,0.016506956729977484,False
2026-02-23,937900,460,0.01759336933132538,False
2026-02-22,937792,6579,0.017921505980387553,False
2026-02-22,937833,777,0.0200690065647805,False
2026-02-22,937823,1653,0.022210890483086,False
2026-02-23,937951,753,0.022424344539400343,False
2026-02-22,937785,6584,0.023458822513617084,False
2026-02-22,937857,5589,0.0252056265641728,False
2026-02-22,937783,5955,0.02555933823521017,False
2026-02-23,937915,5893,0.02595831089585887,False
2026-02-23,937965,284,0.026149716803091083,False
2026-02-23,937952,5392,0.0306570416302141,False
2026-02-23,937889,5454,0.03131290113339491,False
2026-02-23,937960,346,0.03172179779136708,False
2026-02-23,937953,677,0.032940504154624906,False
2026-02-22,937811,5264,0.034242161172867824,False
2026-02-22,937845,6024,0.03673423706105461,False
2026-02-23,937950,6010,0.03914626396597609,False
2026-02-22,937861,297,0.04063756356385273,False
2026-02-22,937859,532,0.04417744840451965,False
2026-02-22,937793,5562,0.04430672771045241,False
2026-02-22,937882,1015,0.04682248855234772,False
2026-02-23,937920,5568,0.04781696749365816,False
2026-02-22,937805,544,0.05100263106628822,False
2026-02-22,937836,321,0.05294083593872756,False
2026-02-22,937798,324,0.05366002368730838,False
2026-02-23,937944,588,0.05392303694426959,False
2026-02-22,937769,569,0.05424587670543135,False
2026-02-23,937903,2384,0.056707195285011336,False
2026-02-23,937919,1033,0.056957052405460895,False
2026-02-22,937886,5156,0.057515905136468204,False
2026-02-23,937961,631,0.05944918296436397,False
2026-02-22,937771,624,0.059885029198321615,False
2026-02-23,937928,1072,0.05996749142650004,False
2026-02-22,937835,1085,0.06025012384661388,False
2026-02-23,937926,5116,0.06237045095060534,False
2026-02-23,937907,1997,0.0629436700279069,False
2026-02-22,937878,2224,0.0647301246832156,False
2026-02-22,937837,1995,0.06554637054203272,False
2026-02-23,937963,5007,0.06789858154045536,False
2026-02-23,937904,2315,0.0679714624975668,False
2026-02-23,937937,5061,0.06804196473083557,False
2026-02-22,937827,1831,0.06867875895559072,False
2026-02-22,937852,1168,0.07149464518572335,False
2026-02-22,937876,1807,0.07159143888654773,False
2026-02-23,937912,1426,0.07164132663027512,False
2026-02-22,937808,2478,0.07165381301330864,False
2026-02-22,937804,1362,0.07304127087856027,False
2026-02-22,937776,2256,0.07441967145324035,False
2026-02-23,937890,5026,0.07467549303035226,False
2026-02-23,937922,1887,0.07478701540467914,False
2026-02-22,937782,2235,0.07500483202670905,False
2026-02-23,937925,2283,0.07518074369253075,False
2026-02-22,937841,1793,0.07518533698890689,False
2026-02-23,937945,1529,0.07693436709079188,False
2026-02-22,937816,1794,0.07714897516236974,False
2026-02-22,937853,1957,0.07770149432760565,False
2026-02-23,937891,2513,0.07825148455501152,False
2026-02-22,937807,4819,0.08163665511596374,False
2026-02-22,937885,1329,0.08222149912711402,False
2026-02-22,937824,1944,0.08272268968828744,False
2026-02-23,937913,3015,0.08277172756516415,False
2026-02-22,937851,1247,0.08327142911496699,False
2026-02-22,937787,3078,0.08354953282510891,False
2026-02-22,937865,4856,0.08515797709802031,False
2026-02-23,937943,1917,0.08565363946044424,False
2026-02-22,937770,4851,0.0870219191997032,False
2026-02-23,937916,1520,0.0870614550015793,False
2026-02-23,937921,1291,0.08769947705795372,False
2026-02-23,937896,1923,0.08774654102849022,False
2026-02-22,937858,1310,0.08851770508665135,False
2026-02-23,937901,2576,0.08919941997119257,False
2026-02-22,937799,1196,0.09002200407912292,False
2026-02-23,937931,1224,0.09190328159614253,False
2026-02-22,937880,1466,0.09265440982964268,False
2026-02-23,937910,4594,0.09323145013444556,False
2026-02-22,937806,1506,0.09326064215475705,False
2026-02-22,937789,1469,0.09348208454401402,False
2026-02-22,937849,4637,0.0948335265378002,False
2026-02-22,937790,1490,0.09662413209830417,False
2026-02-23,937918,1213,0.09895484781930591,False
2026-02-22,937800,1494,0.09899532608237555,False
2026-02-22,937794,1206,0.09946355915127492,False
2026-02-22,937817,4519,0.10174687728676446,False
2026-02-23,937933,4712,0.10448245225369696,False
2026-02-22,937873,2670,0.1059807149885596,False
2026-02-22,937818,4684,0.10643891444433545,False
2026-02-23,937948,2630,0.10776754879813782,False
2026-02-22,937797,3200,0.10846987409035708,False
2026-02-23,937964,4689,0.10865205442942966,False
2026-02-22,937842,4728,0.10870602630357218,False
2026-02-22,937825,4727,0.10911026393365497,False
2026-02-23,937902,2681,0.1091235717667915,False
2026-02-23,937935,2614,0.11211179845054758,False
2026-02-22,937781,2605,0.11341244758260821,False
2026-02-22,937802,2902,0.11487352860500488,False
2026-02-23,937955,2607,0.11518471638015854,False
2026-02-22,937784,3144,0.1155491020622606,False
2026-02-22,937777,2749,0.11603685239471317,False
2026-02-22,937871,2750,0.11616818065759466,False
2026-02-23,937905,2898,0.11743518426173061,False
2026-02-23,937962,3264,0.11813173301789304,False
2026-02-22,937875,3148,0.11820857905908727,False
2026-02-23,937954,3175,0.11828453042179848,False
2026-02-22,937803,2772,0.11889693375999422,False
2026-02-22,937780,3796,0.11928820980106597,False
2026-02-22,937791,2767,0.11932735490738916,False
2026-02-22,937830,2835,0.11947980281179077,False
2026-02-23,937895,3158,0.11973886795655142,False
2026-02-22,937814,3866,0.12301092240762468,False
2026-02-22,937863,4146,0.12332792624209599,False
2026-02-23,937946,3870,0.12458597340216948,False
2026-02-22,937864,3598,0.124888947270821,False
2026-02-23,937940,4085,0.1253538149875707,False
2026-02-23,937908,4127,0.12566859833639382,False
2026-02-22,937828,3780,0.1260390055631287,False
2026-02-22,937840,4191,0.1264499775502383,False
2026-02-22,937847,2875,0.12706538681514085,False
2026-02-22,937774,2874,0.12754247580082095,False
2026-02-22,937860,4470,0.12847969613909083,False
2026-02-23,937949,3786,0.1286912231038197,False
2026-02-23,937959,3625,0.12919538750830983,False
2026-02-23,937947,3555,0.12928312552154586,False
2026-02-23,937939,2854,0.12945604548541423,False
2026-02-22,937801,3617,0.13045760202193973,False
2026-02-22,937809,3741,0.1308568589300585,False
2026-02-23,937929,4465,0.13088098691918432,False
2026-02-22,937884,2852,0.13092861971341746,False
2026-02-23,937936,3679,0.13118221834569954,False
2026-02-22,937832,3284,0.13218353401247618,False
2026-02-23,937909,3707,0.13390669040004,False
2026-02-22,937862,4284,0.1345981633449136,False
2026-02-23,937942,4218,0.13516442468099416,False
2026-02-23,937930,4442,0.13524331090590402,False
2026-02-23,937966,4397,0.13531139677027626,False
2026-02-22,937815,4412,0.1355004689590496,False
2026-02-22,937768,4288,0.13551903478101052,False
2026-02-22,937855,4316,0.13567506427688114,False
2026-02-22,937813,3686,0.13604493687331526,False
2026-02-22,937812,4422,0.13608053735551867,False
2026-02-22,937866,3729,0.13684552424599972,False
2026-02-23,937941,3730,0.13742480303367333,False
2026-02-23,937897,3315,0.137797444417734,False
2026-02-22,937881,4435,0.13801150582618565,False
2026-02-23,937967,3297,0.13838283224965592,False
2026-02-23,937927,3536,0.13900650231405515,False
2026-02-22,937868,3920,0.13925965949292124,False
2026-02-22,937869,3922,0.1393323357036068,False
2026-02-22,937810,3304,0.13984238328336562,False
2026-02-23,937932,4231,0.13986859928004447,False
2026-02-23,937911,3990,0.13996123629689317,False
2026-02-23,937914,4332,0.14038362692542528,False
2026-02-22,937883,4226,0.14046792320562923,False
2026-02-23,937938,3526,0.14115955010285652,False
2026-02-23,937892,4345,0.14173211038919814,False
2026-02-22,937773,4230,0.14176265432198942,False
2026-02-22,937829,4358,0.14201294356462435,False
2026-02-22,937820,4358,0.14201294356462435,False
2026-02-22,937772,3945,0.1423265138260057,False
2026-02-22,937788,4038,0.14299384610208377,False
2026-02-22,937844,3354,0.1434836641470712,False
2026-02-22,937846,3532,0.14350191650593092,False
